epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2874,1.45316,3.38413,1.02711,0.00556,0.5,0.00482,0.00232,1.5157,3.59075,1.18898,4e-05,4e-05,4e-05
2,12.5183,1.35918,3.43747,1.00835,0.00556,0.5,0.00568,0.00266,1.46325,3.58215,1.18932,9.802e-05,9.802e-05,9.802e-05
3,13.6574,1.29446,3.19095,0.98265,0.00778,0.7,0.22159,0.13325,1.25044,3.38496,1.06401,0.000153664,0.000153664,0.000153664
4,14.9867,1.23663,2.59249,0.95988,0.01,0.9,0.33497,0.23291,1.22656,3.3285,0.987,0.000206932,0.000206932,0.000206932
5,16.3784,1.30071,1.97697,0.94099,0.01,0.9,0.33096,0.16607,1.30494,3.35612,1.03402,0.000257824,0.000257824,0.000257824
6,17.6448,1.27135,1.44356,0.96477,0.01111,1,0.36244,0.184,1.31924,3.23356,1.02418,0.00030634,0.00030634,0.00030634
7,18.979,1.15516,1.24787,0.9003,0.01111,1,0.33608,0.17995,1.20147,3.27255,0.96991,0.00035248,0.00035248,0.00035248
8,20.081,1.15163,1.18706,0.90323,0.01111,1,0.32304,0.16638,1.27262,3.30831,0.97014,0.000396244,0.000396244,0.000396244
9,21.2368,1.12212,1.19186,0.94002,0.01111,1,0.35599,0.12718,1.24105,3.39925,0.97712,0.000437632,0.000437632,0.000437632
10,22.3307,1.14417,1.11691,0.93842,0.01,0.9,0.36569,0.10392,1.35519,3.31867,1.02552,0.000476644,0.000476644,0.000476644
11,23.529,1.08905,1.16913,0.93509,0.01,0.9,0.27013,0.08857,1.36713,3.38004,1.09557,0.00051328,0.00051328,0.00051328
12,24.6572,1.15153,1.05815,0.94839,0.01,0.9,0.35871,0.06604,1.36032,3.30282,1.12814,0.00054754,0.00054754,0.00054754
13,25.8457,1.13056,1.05113,0.9518,0.01111,1,0.33955,0.10903,1.31519,3.29212,1.13866,0.000579424,0.000579424,0.000579424
14,26.9515,1.05017,1.03053,0.93638,0.01111,1,0.28562,0.116,1.27113,3.23785,1.11525,0.000608932,0.000608932,0.000608932
15,28.2618,1.12722,1.06265,0.95408,0.01,0.9,0.36927,0.17353,1.28028,3.15749,1.01245,0.000636064,0.000636064,0.000636064
16,29.5218,1.14444,1.07832,0.95794,0.01111,1,0.27587,0.16887,1.17563,3.17514,0.99477,0.00066082,0.00066082,0.00066082
17,30.7397,1.02884,0.98911,0.91851,0.01111,1,0.29174,0.21206,1.16233,3.06732,1.01036,0.0006832,0.0006832,0.0006832
18,31.9212,1.12382,1.05553,0.95885,0.01111,1,0.24781,0.1916,1.15837,3.0457,1.00482,0.000703204,0.000703204,0.000703204
19,33.1779,1.11321,1.01961,0.94133,0.01111,1,0.23832,0.14864,1.22942,3.03305,1.00821,0.000720832,0.000720832,0.000720832
20,34.3569,1.13849,0.94129,0.94531,0.01111,1,0.23224,0.14135,1.20671,3.03262,1.0093,0.000736084,0.000736084,0.000736084
21,35.567,1.09145,0.91185,0.96019,0.01111,1,0.29589,0.19925,1.15505,2.96632,0.97475,0.00074896,0.00074896,0.00074896
22,36.7407,1.02918,0.9071,0.91124,0.01111,1,0.27716,0.18538,1.16129,2.95047,0.95397,0.00075946,0.00075946,0.00075946
23,38.0295,1.14824,0.95961,0.94942,0.0131,0.5,0.2504,0.16461,1.1879,2.96219,0.99155,0.000767584,0.000767584,0.000767584
24,39.2717,1.10596,0.94068,0.95871,0.12067,0.5,0.34824,0.25189,1.2373,2.81401,1.05799,0.000773332,0.000773332,0.000773332
25,40.4489,0.97446,0.94393,0.91391,0.78508,0.4,0.43906,0.28604,1.33216,2.69733,1.0996,0.000776704,0.000776704,0.000776704
26,41.6515,1.00785,0.85067,0.89967,0.81761,0.45283,0.51755,0.33371,1.33382,2.57233,1.09072,0.0007777,0.0007777,0.0007777
27,42.8179,1.05265,0.87852,0.94486,0.81491,0.5,0.59012,0.3808,1.31554,2.4578,1.10257,0.00077632,0.00077632,0.00077632
28,43.9715,1.10848,0.86122,0.93929,0.81453,0.5,0.51676,0.32925,1.37303,2.4161,1.11885,0.000772564,0.000772564,0.000772564
